route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
00100,02001,00100_02001_14682,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14682,S_00100000,1,0
00100,02001,00100_02001_14687,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14687,S_00100000,1,0
00100,02001,00100_02001_14688,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14688,S_00100000,1,0
00100,02001,00100_02001_14702,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14702,S_00100000,1,0
00100,02001,00100_02001_14705,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14705,S_00100000,1,0
00100,02001,00100_02001_14713,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14713,S_00100000,1,0
00100,02001,00100_02001_14714,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14714,S_00100000,1,0
00100,02001,00100_02001_14716,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14716,S_00100000,1,0
00100,02001,00100_02001_14717,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14717,S_00100000,1,0
00100,02001,00100_02001_14728,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14728,S_00100000,1,0
00100,02001,00100_02001_14729,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14729,S_00100000,1,0
00100,02001,00100_02001_14734,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14734,S_00100000,1,0
00100,02001,00100_02001_14735,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14735,S_00100000,1,0
00100,02001,00100_02001_14741,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14741,S_00100000,1,0
00100,02001,00100_02001_14742,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14742,S_00100000,1,0
00100,02001,00100_02001_14747,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14747,S_00100000,1,0
00100,02001,00100_02001_14748,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14748,S_00100000,1,0
00100,02001,00100_02001_14903,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14903,S_00100000,1,0
00100,02001,00100_02001_14949,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_02001_14949,S_00100000,1,0
00100,03001,00100_03001_9332,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9332,S_00100000,1,0
00100,03001,00100_03001_9337,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9337,S_00100000,1,0
00100,03001,00100_03001_9351,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9351,S_00100000,1,0
00100,03001,00100_03001_9352,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9352,S_00100000,1,0
00100,03001,00100_03001_9364,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9364,S_00100000,1,0
00100,03001,00100_03001_9365,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9365,S_00100000,1,0
00100,03001,00100_03001_9376,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9376,S_00100000,1,0
00100,03001,00100_03001_9377,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9377,S_00100000,1,0
00100,03001,00100_03001_9382,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9382,S_00100000,1,0
00100,03001,00100_03001_9383,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9383,S_00100000,1,0
00100,03001,00100_03001_9388,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9388,S_00100000,1,0
00100,03001,00100_03001_9389,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9389,S_00100000,1,0
00100,03001,00100_03001_9390,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9390,S_00100000,1,0
00100,03001,00100_03001_9393,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9393,S_00100000,1,0
00100,03001,00100_03001_9395,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9395,S_00100000,1,0
00100,03001,00100_03001_9397,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9397,S_00100000,1,0
00100,03001,00100_03001_9398,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9398,S_00100000,1,0
00100,03001,00100_03001_9399,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9399,S_00100000,1,0
00100,03001,00100_03001_9414,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9414,S_00100000,1,0
00100,03001,00100_03001_9415,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9415,S_00100000,1,0
00100,03001,00100_03001_9438,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9438,S_00100000,1,0
00100,03001,00100_03001_9439,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9439,S_00100000,1,0
00100,03001,00100_03001_9442,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9442,S_00100000,1,0
00100,03001,00100_03001_9443,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9443,S_00100000,1,0
00100,03001,00100_03001_9447,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9447,S_00100000,1,0
00100,03001,00100_03001_9448,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9448,S_00100000,1,0
00100,03001,00100_03001_9451,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9451,S_00100000,1,0
00100,03001,00100_03001_9453,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9453,S_00100000,1,0
00100,03001,00100_03001_9457,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9457,S_00100000,1,0
00100,03001,00100_03001_9458,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9458,S_00100000,1,0
00100,03001,00100_03001_9478,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9478,S_00100000,1,0
00100,03001,00100_03001_9479,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9479,S_00100000,1,0
00100,03001,00100_03001_9495,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9495,S_00100000,1,0
00100,03001,00100_03001_9496,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9496,S_00100000,1,0
00100,03001,00100_03001_9499,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9499,S_00100000,1,0
00100,03001,00100_03001_9503,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9503,S_00100000,1,0
00100,03001,00100_03001_9513,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9513,S_00100000,1,0
00100,03001,00100_03001_9514,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9514,S_00100000,1,0
00100,03001,00100_03001_9522,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9522,S_00100000,1,0
00100,03001,00100_03001_9523,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9523,S_00100000,1,0
00100,03001,00100_03001_9530,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9530,S_00100000,1,0
00100,03001,00100_03001_9531,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9531,S_00100000,1,0
00100,03001,00100_03001_9532,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9532,S_00100000,1,0
00100,03001,00100_03001_9535,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9535,S_00100000,1,0
00100,03001,00100_03001_9546,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9546,S_00100000,1,0
00100,03001,00100_03001_9547,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9547,S_00100000,1,0
00100,03001,00100_03001_9551,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9551,S_00100000,1,0
00100,03001,00100_03001_9552,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9552,S_00100000,1,0
00100,03001,00100_03001_9697,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9697,S_00100000,1,0
00100,03001,00100_03001_9750,北大路バスターミナル・下鴨神社・出町柳駅,,1,00100_03001_9750,S_00100000,1,0
00302,01001,00302_01001_2761,四条河原町・百万遍・上終町,,1,003A0_01001_2923,S_00302010,1,0
00302,01001,00302_01001_2763,四条河原町・百万遍・上終町,,1,00302_01001_2763,S_00302030,1,0
00302,01001,00302_01001_2776,四条河原町・百万遍・上終町,,1,00302_01001_2868,S_00301001,1,0
00302,01001,00302_01001_2789,四条河原町・百万遍・上終町,,1,003A0_01001_3005,S_00302010,1,0
00302,01001,00302_01001_2791,四条河原町・百万遍・上終町,,1,00302_01001_2791,S_00302030,1,0
