from_stop_id,to_stop_id,transfer_type,min_transfer_time
048300,048100,0,
048300,048200,0,
048300,048300,0,
048300,048400,0,
048400,048100,0,
048400,048200,0,
048400,048300,0,
048400,048400,0,
051100,051100,0,
051100,051200,0,
051100,051300,0,
051100,051400,0,
051200,051100,0,
051200,051200,0,
051200,051300,0,
051200,051400,0,
051300,051100,0,
051300,051200,0,
051300,051300,0,
051300,051400,0,
051400,051100,0,
051400,051200,0,
051400,051300,0,
051400,051400,0,
053100,053100,0,
053100,053200,0,
053100,053300,0,
053100,053400,0,
053200,053100,0,
053200,053200,0,
053200,053300,0,
053200,053400,0,
053300,053100,0,
053300,053200,0,
053300,053300,0,
053300,053400,0,
053400,053100,0,
053400,053200,0,
053400,053300,0,
053400,053400,0,
055001,055100,0,
055001,055210,0,
055001,055220,0,
055001,055310,0,
055001,055320,0,
055001,055410,0,
055001,055420,0,
055100,055100,0,
055100,055210,0,
055100,055220,0,
055100,055310,0,
055100,055320,0,
055100,055410,0,
055100,055420,0,
055210,055100,0,
055210,055210,0,
055210,055220,0,
055210,055310,0,
055210,055320,0,
055210,055410,0,
055210,055420,0,
055220,055100,0,
055220,055210,0,
055220,055220,0,
055220,055310,0,
055220,055320,0,
055220,055410,0,
055220,055420,0,
055310,055100,0,
055310,055210,0,
055310,055220,0,
055310,055310,0,
055310,055320,0,
055310,055410,0,
055310,055420,0,
055320,055100,0,
055320,055210,0,
055320,055220,0,
055320,055310,0,
055320,055320,0,
055320,055410,0,
055320,055420,0,
055410,055100,0,
055410,055210,0,
055410,055220,0,
055410,055310,0,
055410,055320,0,
055410,055410,0,
055410,055420,0,
055420,055100,0,
055420,055210,0,
055420,055220,0,
055420,055310,0,
055420,055320,0,
055420,055410,0,
055420,055420,0,
057100,057100,0,
057100,057200,0,
057100,057300,0,
057100,057400,0,
057200,057100,0,
057200,057200,0,
057200,057300,0,
057200,057400,0,
057300,057100,0,
057300,057200,0,
057300,057300,0,
057300,057400,0,
057400,057100,0,
057400,057200,0,
057400,057300,0,
057400,057400,0,
061001,061211,0,
061001,061212,0,
061001,061213,0,
061001,061221,0,
061001,061222,0,
061001,061223,0,
061001,061231,0,
061001,061234,0,
061001,061235,0,
061001,061236,0,
061001,061241,0,
061001,061242,0,
061001,061243,0,
061002,061211,0,
061002,061212,0,
061002,061213,0,
061002,061221,0,
061002,061222,0,
061002,061223,0,
061002,061231,0,
061002,061234,0,
061002,061235,0,
061002,061236,0,
061002,061241,0,
061002,061242,0,
061002,061243,0,
061211,061211,0,
061211,061212,0,
061211,061213,0,
061211,061221,0,
061211,061222,0,
061211,061223,0,
061211,061231,0,
061211,061234,0,
061211,061235,0,
061211,061236,0,
061211,061241,0,
061211,061242,0,
061211,061243,0,
061212,061211,0,
061212,061212,0,
061212,061213,0,
061212,061221,0,
061212,061222,0,
061212,061223,0,
061212,061231,0,
061212,061234,0,
061212,061235,0,
061212,061236,0,
061212,061241,0,
061212,061242,0,
061212,061243,0,
061213,061211,0,
061213,061212,0,
061213,061213,0,
061213,061221,0,
061213,061222,0,
061213,061223,0,
061213,061231,0,
061213,061234,0,
061213,061235,0,
061213,061236,0,
061213,061241,0,
061213,061242,0,
061213,061243,0,
061221,061211,0,
061221,061212,0,
061221,061213,0,
061221,061221,0,
061221,061222,0,
061221,061223,0,
061221,061231,0,
061221,061234,0,
061221,061235,0,
061221,061236,0,
061221,061241,0,
061221,061242,0,
061221,061243,0,
061222,061211,0,
061222,061212,0,
061222,061213,0,
061222,061221,0,
061222,061222,0,
061222,061223,0,
